date,min,max,median,q1,q3,stdev,count
2023-01-02T00:00:00.000Z,0.97,37.29,2.4,1.5,4.07,2.813,427
2023-01-03T00:00:00.000Z,0.5,65.03,0.9,0.7,1.12,5.233,252
2023-01-04T00:00:00.000Z,1,16.73,1.83,1.57,2.1,1.122,411
2023-01-05T00:00:00.000Z,1.12,24.63,3.5,2.8,4.59,3.35,266
2023-01-06T00:00:00.000Z,2.43,8.19,3.83,3.4,4.42,0.792,509
2023-01-07T00:00:00.000Z,1.8,37.77,3.77,3.1,6.97,7.309,335
2023-01-08T00:00:00.000Z,0.8,59.7,12.5,8.4,18.53,8.799,518
2023-01-09T00:00:00.000Z,2.6,37,9.02,7,11.17,3.769,347
2023-01-10T00:00:00.000Z,0.97,40.93,3.23,1.87,4.33,2.354,511
2023-01-11T00:00:00.000Z,0.9,12.67,4.59,3.77,5.27,1.445,481
2023-01-12T00:00:00.000Z,1,7.63,4.13,3.6,4.67,1.154,514
2023-01-13T00:00:00.000Z,1.27,24.37,4.59,3.13,6.54,3.608,453
2023-01-14T00:00:00.000Z,0.5,27.73,3.27,0.9,5.92,5.106,533
2023-01-15T00:00:00.000Z,0.5,5.17,2.57,1.7,3.1,1.034,450
2023-01-16T00:00:00.000Z,0.5,20.7,2.2,1.2,4.83,2.499,487
2023-01-17T00:00:00.000Z,1.33,21.57,6.03,3.4,7.9,2.829,507
2023-01-18T00:00:00.000Z,0.87,8.67,2.2,1.8,3,1.509,420
2023-01-19T00:00:00.000Z,2.93,79.83,6.3,5.09,8.19,3.801,522
2023-01-20T00:00:00.000Z,1.93,62.77,6,4.59,7.87,4.858,514
2023-01-21T00:00:00.000Z,1.2,70.93,2.4,1.93,3.27,5.211,490
2023-01-22T00:00:00.000Z,1.2,119.77,3.9,1.93,6.9,7.594,555
2023-01-23T00:00:00.000Z,2.57,21.77,6.6,4.73,9.1,3.468,444
2023-01-24T00:00:00.000Z,4,31.2,10.73,8.23,13.8,4.369,515
